lemma,urn,category,method,pos_score,neg_score,margin,entry_len,gloss
μεγᾰλο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n65461,civic_community,seed,0.638,0.202,0.436,83,citizen of a large city
φῡλή,urn:cite2:hmt:lsj.chicago_md:n112563,civic_community,seed,0.637,0.68,-0.043,1688,"a race, tribe;; a union formed in an organized community; tribe; a body; united; by supposed ties of blood and descent, clan; tribes; by local habitation; subdivision of the priests in each Egyptian temple; military contingent furnished by a tribe; representatives of a tribe; kind, species"
Ἀχερδούσιος,urn:cite2:hmt:lsj.chicago_md:n18679,civic_community,seed,0.635,0.264,0.372,173,inhabitant of the deme; Crabby
μητρο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n67593,civic_community,seed,0.634,0.273,0.361,260,citizen of a; citizen of Metropolis; metropolitan bishop
πολῑτ-ευμα,urn:cite2:hmt:lsj.chicago_md:n84506,civic_community,seed,0.628,0.473,0.155,1730,"business of government, act of administration; measures of government; institutions; policy; Catonis; the government; citizens; free republics; form of government; citizen rights, citizenship; body of citizens; sovereign body; corporate body of citizens; corporate body, association; founded by"
πολῑτ-ῐκός,urn:cite2:hmt:lsj.chicago_md:n84513,civic_community,seed,0.628,0.541,0.087,4861,"of, for; relating to citizens; ager publicus; urbanus; qui inter cives ius dicit); civil; in a town; city; official; befitting a citizen, civic, civil; civil affairs; more constitutionly; observant of social order; like a citizen, in a constitutional manner; like members of one state; more socially; civil, courteous; civilly, courteously; consisting of citizens; of oneʼs fellow-citizens; community; composed of; citizens; living in a community; fit for, characteristic of, free government; secular; laity; of; befitting a statesman, statesmanlike; the statesman; belonging to the state; its administration, political; of politics; public matters; weal of the state; civil, municipal; having relation to public life, political, public; litterae; scriptae; suited to a citizenʼs common life, ordinary; belonging to common usage; drawn from ordinary life; ordinary; concubine, mistress"
Πτολεμ-ᾱΐς,urn:cite2:hmt:lsj.chicago_md:n91221,civic_community,seed,0.628,0.298,0.33,380,Acre; a citizen thereof
φῦλον,urn:cite2:hmt:lsj.chicago_md:n112620,civic_community,seed,0.612,0.445,0.167,1735,"race, tribe; class; swarm; people; the race; tribe; ordo senatorius; sex; nation; clan"
ὁμο-φῡλία,urn:cite2:hmt:lsj.chicago_md:n73902,civic_community,seed,0.599,0.323,0.276,81,sameness of race; tribe
φῡλοκρῐνέω,urn:cite2:hmt:lsj.chicago_md:n112619,civic_community,seed,0.596,0.312,0.284,713,make distinctions of tribe; classify; distinguish precisely; select carefully; pick out
ἔτης,urn:cite2:hmt:lsj.chicago_md:n43260,civic_community,seed,0.595,0.261,0.334,881,clansmen; kinsmen and dependents of a great house; citizen; a private citizen
πολῐ-ήτης,urn:cite2:hmt:lsj.chicago_md:n84468,civic_community,seed,0.595,0.286,0.309,425,"citizen; fellow-citizen, countryman; countryʼs"
μικρο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n67748,civic_community,seed,0.59,0.185,0.405,124,citizen of a petty state
φράτρα,urn:cite2:hmt:lsj.chicago_md:n112240,civic_community,seed,0.587,0.355,0.232,1704,"brotherhood; tribe, clan; clans; clan; political subdivision of the; sub-division of a tribe; Harvard Theological Review; curia; league; association; conspiracy"
ὑψῐ-πολις,urn:cite2:hmt:lsj.chicago_md:n109982,civic_community,seed,0.584,0.367,0.216,100,citizen of a proud city
δῐ-πολίτης,urn:cite2:hmt:lsj.chicago_md:n27409,civic_community,seed,0.581,0.254,0.327,70,citizen of two cities
συνοικ-ία,urn:cite2:hmt:lsj.chicago_md:n100783,civic_community,seed,0.579,0.511,0.068,918,"living with her; a body of people living together, settlement, community; house in which several families live, tenement-house; lodging-house; store-room; village, hamlet"
δημότης,urn:cite2:hmt:lsj.chicago_md:n24460,civic_community,seed,0.578,0.385,0.193,797,"one of the people, commoner; popularly; one of the same people, fellow-citizen; member of a deme; of the same deme"
ὁμο-πολῑτεία,urn:cite2:hmt:lsj.chicago_md:n73794,civic_community,seed,0.573,0.289,0.285,91,"community of citizenship, Abh. Berl.Akad."
κοινων-έω,urn:cite2:hmt:lsj.chicago_md:n58444,civic_community,seed,0.57,0.436,0.133,2567,"have; do in common with, share, take part in; with; give a share of; have a share of, take part in; share; in common; partnership; go shares with, have dealings with; is concerned with; has; in common with; sympathize; united with; commit; share in an opinion, agree; communicate, join; form a community"
αὐτο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n17875,civic_community,seed,0.569,0.18,0.389,86,citizen of a free state
ἀπρόσ-φῡλος,urn:cite2:hmt:lsj.chicago_md:n14526,civic_community,seed,0.568,0.249,0.318,83,not belonging to the tribe
δημοτ-ικός,urn:cite2:hmt:lsj.chicago_md:n24461,civic_community,seed,0.566,0.392,0.174,1702,"of; for the people, in common use; popular; common, ordinary; public affairs; of the populace, one of them; on the popular; democratic side; for the people; generous, kindly, affable; affably, kindly; popular, democratic; trying suits between citizens; in a spirit of equality; like a free and independent citizen; belonging to a deme"
φύλιος,urn:cite2:hmt:lsj.chicago_md:n112566,civic_community,seed,0.566,0.321,0.245,60,of a tribe
κοινό-βῐος,urn:cite2:hmt:lsj.chicago_md:n58389,civic_community,seed,0.565,0.45,0.116,251,living in community with others; life in community; monastery
κοινο-ποιός,urn:cite2:hmt:lsj.chicago_md:n58423,civic_community,seed,0.561,0.486,0.075,62,creating community
κοινο-πολῑτεία,urn:cite2:hmt:lsj.chicago_md:n58424,civic_community,seed,0.56,0.259,0.3,116,citizenship of a; league
πολιατ-εύω,urn:cite2:hmt:lsj.chicago_md:n84461,civic_community,seed,0.557,0.233,0.324,55,to be a citizen
